<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.01.28	00:03:31.070	0.70084	0.70121			6
2026.01.28	00:04:00.320	0.70084				2
2026.01.28	00:04:30.578	0.70082	0.70123			6
2026.01.28	00:04:42.416	0.70073				2
2026.01.28	00:05:00.405	0.70073	0.70122			6
2026.01.28	00:05:05.388		0.70120			4
2026.01.28	00:05:10.247		0.70122			4
2026.01.28	00:05:11.003		0.70123			4
2026.01.28	00:05:26.026	0.70075				2
2026.01.28	00:05:36.355	0.70073				2
2026.01.28	00:05:41.489		0.70120			4
2026.01.28	00:05:46.549		0.70123			4
2026.01.28	00:06:05.466	0.70073				2
2026.01.28	00:06:17.396		0.70122			4
2026.01.28	00:07:06.163	0.70074	0.70121			6
2026.01.28	00:08:20.968	0.70074	0.70121			6
2026.01.28	00:09:10.313	0.70074				2
2026.01.28	00:09:38.251		0.70121			4
2026.01.28	00:09:39.291	0.70078	0.70129			6
2026.01.28	00:10:00.379	0.70080	0.70128			6
2026.01.28	00:10:03.778		0.70129			4
2026.01.28	00:10:08.769	0.70079				2
2026.01.28	00:10:11.814	0.70074	0.70133			6
2026.01.28	00:10:23.380	0.70075				2
2026.01.28	00:10:24.007	0.70077	0.70131			6
2026.01.28	00:10:46.864		0.70132			4
2026.01.28	00:10:51.864	0.70070	0.70130			6
2026.01.28	00:11:00.007	0.70070				2
2026.01.28	00:11:15.452	0.70071				2
2026.01.28	00:11:30.452	0.70076	0.70124			6
2026.01.28	00:11:35.932	0.70071	0.70130			6
2026.01.28	00:11:36.852	0.70076	0.70124			6
2026.01.28	00:11:38.588	0.70077	0.70123			6
2026.01.28	00:11:42.118	0.70070	0.70130			6
2026.01.28	00:11:43.051	0.70077	0.70123			6
2026.01.28	00:12:06.179	0.70077				2
2026.01.28	00:12:09.955		0.70125			4
2026.01.28	00:12:16.454		0.70124			4
2026.01.28	00:13:08.764	0.70077	0.70125			6
2026.01.28	00:13:09.218	0.70076				2
2026.01.28	00:14:01.197	0.70088				2
2026.01.28	00:14:01.703	0.70076	0.70121			6
2026.01.28	00:14:02.023	0.70088	0.70125			6
2026.01.28	00:14:02.345	0.70076	0.70121			6
2026.01.28	00:14:03.356	0.70088	0.70125			6
2026.01.28	00:14:04.259	0.70076	0.70121			6
2026.01.28	00:14:04.732		0.70125			4
2026.01.28	00:15:00.744	0.70076	0.70124			6
2026.01.28	00:15:04.487		0.70123			4
2026.01.28	00:15:07.239		0.70124			4
2026.01.28	00:16:00.313	0.70076				2
2026.01.28	00:16:07.377		0.70124			4
2026.01.28	00:16:57.693		0.70125			4
2026.01.28	00:17:00.969	0.70076				2
2026.01.28	00:17:04.771	0.70087	0.70128			6
2026.01.28	00:17:07.739	0.70076	0.70124			6
2026.01.28	00:17:08.598	0.70075	0.70122			6
2026.01.28	00:18:00.334	0.70075				2
2026.01.28	00:18:04.796	0.70074				2
2026.01.28	00:18:11.845		0.70122			4
2026.01.28	00:18:52.652	0.70075				2
2026.01.28	00:19:00.312	0.70075				2
2026.01.28	00:19:15.479		0.70122			4
2026.01.28	00:20:03.179	0.70075				2
2026.01.28	00:20:16.354		0.70122			4
2026.01.28	00:21:00.966	0.70075				2
2026.01.28	00:21:16.677		0.70122			4
2026.01.28	00:22:02.577	0.70075				2
2026.01.28	00:22:16.678		0.70122			4
2026.01.28	00:23:00.178	0.70075				2
2026.01.28	00:23:05.908	0.70078	0.70123			6
2026.01.28	00:23:09.179	0.70077				2
2026.01.28	00:23:25.677		0.70124			4
2026.01.28	00:23:38.579		0.70123			4
2026.01.28	00:23:43.977		0.70118			4
